0	81704694	69554551	71258780	85889982	48270168
1	81682814	61030490	62227544	86326753	48315077
2	82292433	69390659	74598191	92441831	48205950
3	81699600	62031092	61978846	88390618	48442562
4	81698058	82637278	71649889	87100621	48715531
5	81389270	63880415	63767606	45183323	48171513
6	81405851	65934087	64991980	48449880	48376138
7	82296064	67894859	65004844	53844429	48314944
8	82287728	62213869	64050099	59093945	48237269
9	81379534	69627499	68901816	57693136	48443958
10	82593135	58918365	63382105	73514007	47953801
11	81698096	68051984	73280230	78521475	47948601
12	81983304	59022352	61922755	75205826	48029755
13	81997362	83766713	74897882	71162646	48244652
14	81393650	61320105	64338392	75182142	48308038
15	81071314	70450787	66518779	55020266	48080377
16	82905275	70806515	67128203	54134706	48708441
17	82892486	55815506	62473584	57481333	47413510
18	81392598	70337413	66146263	48281837	48568899
19	80780600	59502766	63781862	54220285	47946716
