0	117638487	10123017	207099135	199126653	10123016
1	132840790	10247603	17615149	199288073	10247601
2	119838342	10210255	212526355	199371413	10210255
3	150513176	10329974	159111680	201130293	10329973
4	115966768	1606799164	182746967	201047791	12206437
5	433191195	16978436	166685763	198959637	16976684
6	160335384	10208593	191359542	199876056	10208592
7	108301120	22987023	169673990	201050169	22954240
8	175086630	30299997	211150641	200614168	30297870
9	105033635	33787213	186080427	199486549	33773086
10	931231263	828514944	191903436	199102932	31216537
11	157665218	81361133	231903624	199324786	81293149
12	120801641	30125649	194417978	199321246	30123548
13	256547769	338881868	229687820	201175722	338573815
14	130335158	30122450	204385641	201066857	30120409
15	148617661	30024287	238559372	199090559	30022187
16	339858259	828425423	207432791	199292376	31126911
17	170647805	30187878	229145449	199351204	30185817
18	118565721	10041789	196857801	201184186	10041788
19	182291801	30339703	212827921	201123383	30337604

