0	13804237	9439343	28917561	22260418	8317392
1	13861370	9571099	24651101	20049103	8418739
2	13797761	9530609	25633727	19608500	8386122
3	13808397	9656154	25767455	20694080	8484150
4	13744302	9526919	24771075	20047045	8384958
5	13912169	9530357	24497315	19827687	8496583
6	13742022	9527834	24363076	22210445	8385732
7	13796112	9870615	27294842	22290963	8354079
8	13857526	12963576	22893271	20451094	8429788
9	13798650	10261779	26041770	20989720	8238531
10	13812212	13003500	22346992	5308717	8369644
11	13800638	12631245	26520528	3047232	8288575
12	13860271	12813436	24812430	5441675	8299876
13	13801620	16358360	24790264	4407165	8376574
14	13867859	12811269	25996884	4775800	8298389
15	13855957	12812507	24635522	342998	8205053
16	13813977	12815806	27066959	224706	8302461
17	13871943	13072914	23890226	43650	8334109
18	13861198	9350164	28001308	441162	8249516
19	13865520	13330957	25240392	177879	8463099

